Timestamp,Packet Length,server_id,request_count,latency_ms,event_type
2023-05-30 06:33:58,503,S1,503,11736.266666666666,Non-Cyber
2020-08-26 07:08:30,1174,S2,1174,21226.133333333335,Non-Cyber
2022-11-13 08:23:25,306,S3,306,35131.2,Cyber
2023-07-02 10:38:46,385,S1,385,6521.333333333333,Non-Cyber
2023-07-16 13:11:07,1462,S2,1462,987.7333333333333,Non-Cyber
2022-10-28 13:14:27,1423,S3,1423,3062.9333333333334,Cyber
2022-05-16 17:55:43,379,S1,379,12822.133333333333,Non-Cyber
2023-02-12 07:13:17,1022,S2,1022,22165.066666666666,Non-Cyber
2023-06-27 11:02:56,1281,S3,1281,23219.2,Non-Cyber
2021-08-15 22:29:04,224,S1,224,6723.466666666667,Cyber
2022-07-20 13:28:50,661,S2,661,10316.533333333333,Cyber
2022-06-26 15:15:50,281,S3,281,34577.86666666667,Cyber
2020-09-30 21:35:31,64,S1,64,29714.133333333335,Cyber
2021-01-13 02:30:18,1341,S2,1341,25571.2,Non-Cyber
2023-02-01 13:17:17,913,S3,913,29546.933333333338,Cyber
2023-09-15 20:35:21,425,S1,425,36850.666666666664,Cyber
2023-04-18 16:46:46,838,S2,838,17978.933333333334,Cyber
2023-02-21 07:02:55,969,S3,969,16700.8,Non-Cyber
2020-12-29 02:50:47,124,S1,124,17966.133333333335,Cyber
2020-07-27 00:00:53,461,S2,461,5521.866666666667,Cyber
2021-07-16 20:45:42,845,S3,845,36446.666666666664,Cyber
2022-04-29 14:46:46,410,S1,410,34982.666666666664,Cyber
2023-02-24 06:39:25,1425,S2,1425,29660.0,Cyber
2023-09-15 15:43:03,118,S3,118,38570.933333333334,Non-Cyber
2023-10-06 06:53:51,1386,S1,1386,27711.200000000004,Non-Cyber
2023-10-06 02:37:35,433,S2,433,36174.933333333334,Non-Cyber
2021-01-31 03:12:04,531,S3,531,35175.2,Cyber
2020-08-28 09:54:45,282,S1,282,17910.4,Cyber
2021-05-29 15:33:51,1487,S2,1487,18961.066666666666,Cyber
2022-05-30 18:26:12,563,S3,563,10580.266666666666,Non-Cyber
2022-08-02 19:15:37,1313,S1,1313,28380.266666666666,Non-Cyber
2023-01-10 12:29:37,350,S2,350,31010.666666666668,Non-Cyber
2020-10-15 19:05:37,373,S3,373,1746.9333333333334,Cyber
2021-06-09 18:55:30,1155,S1,1155,10988.0,Non-Cyber
2020-07-08 08:08:54,521,S2,521,24505.866666666665,Non-Cyber
2023-09-23 19:07:33,1346,S3,1346,27809.866666666665,Non-Cyber
2022-05-22 03:10:27,1311,S1,1311,30763.2,Cyber
2022-06-04 20:45:18,117,S2,117,30246.399999999998,Cyber
2022-12-29 23:42:12,1271,S3,1271,20289.866666666665,Cyber
2023-03-14 07:27:32,308,S1,308,34276.26666666667,Cyber
2021-02-13 16:45:36,545,S2,545,2866.6666666666665,Non-Cyber
2021-05-23 16:29:26,572,S3,572,9173.066666666668,Non-Cyber
2022-12-01 08:47:07,1474,S1,1474,12650.133333333333,Non-Cyber
2022-07-21 20:33:30,1363,S2,1363,5026.933333333333,Non-Cyber
2023-06-09 05:57:13,443,S3,443,17092.266666666666,Non-Cyber
2020-04-10 18:21:31,1026,S1,1026,31639.2,Cyber
2023-05-16 13:01:56,554,S2,554,39423.46666666667,Non-Cyber
2020-10-08 04:34:34,649,S3,649,33690.13333333333,Cyber
2021-08-20 14:42:57,1378,S1,1378,17018.933333333334,Cyber
2021-05-08 04:56:17,107,S2,107,589.0666666666666,Non-Cyber
2023-01-18 01:12:24,317,S3,317,22937.066666666666,Cyber
2021-04-16 12:48:40,875,S1,875,826.6666666666667,Cyber
2022-04-28 14:18:26,576,S2,576,31387.2,Non-Cyber
2023-02-20 06:41:55,619,S3,619,27354.133333333335,Non-Cyber
